Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іщенко,Соломон,Андрійович,Чоловік,1990-11-23,Конструктор,Олевськ,"провулок Заводська 1-ша, буд. 343 кв. 81, Новогродівка, 58044",+380 33 617 33 45,dan80@example.com
Кальченко,Устим,Петрович,Чоловік,1946-11-10,Круп'є,Красноперекопськ,"площа Удільний, буд. 81, Соледар, 16624",445-54-12,bohdanbaturynets@example.net
Якимчук,Віктор,Миколайович,Чоловік,1983-09-18,Етнограф,Щастя ,"провулок Аркадіївський, буд. 7 кв. 70, Снятин, 30085",041 285-14-24,vitalii76@example.org
Рудько,Ярослав,Сергійович,Чоловік,2008-08-19,Хореограф,Нікополь,"провулок Грузинська, буд. 8 кв. 918, Кіцмань, 79735",019 242-76-55,mykhailynahupalo@example.org
Деревʼянко,Феофан,Олексійович,Чоловік,1966-06-08,Льотчик,Дніпро ,"площа Карантинний узвіз, буд. 99, Долинська, 40896",+380 46 884 86 77,pavlenkoolena@example.org
Мамчур,Юхим,Андрійович,Чоловік,1956-09-28,Продюсер,Буринь,"парк Шкільний, буд. 028, Алупка, 75231",074 877-31-98,chumachenkoihor@example.org
Мамчур,Богдан,Володимирович,Чоловік,1947-02-03,Футболіст,Петрово-Красносілля,"набережна Олександра Тимошенка, буд. 8, Гуляйполе, 25586",268 27 42,nzhadan@example.net
Андрійович,Опанас,Андрійович,Чоловік,1972-03-22,Швачка,Брянка,"парк Іванова 2-й, буд. 4, Довжанськ, 97345",+380 64 236 36 58,viacheslav43@example.com
Полтавець,Ярослав,Володимирович,Чоловік,1955-10-13,Ботанік,Голубівка,"площа Амундсена, 3-й, буд. 9 кв. 101, Євпаторія, 12765",+380 14 825 97 90,liudmyladanko@example.com
Мазур,Назар,Миколайович,Чоловік,1944-07-17,Флорист,Кам'янське,"парк Бісквітний, буд. 945, Пустомити, 30711",+380 46 412 28 60,nazarfartushniak@example.com
Стус,Арсен,Андрійович,Чоловік,1945-09-03,Кінокритик,Нікополь,"проспект Середня, буд. 545, Красилів, 14326",+380 49 092-22-56,qzatula@example.org
Лесик,Охрім,Миколайович,Чоловік,1964-11-02,Локсмайстер,Благовіщенське,"шосе Давида Ойстраха, буд. 53 кв. 7, Берислав, 65324",+380 01 220-00-84,lesykvalentyn@example.org
Микитюк,Микита,Олексійович,Чоловік,1991-07-27,Гінеколог,Молодогвардійськ,"шосе Вільгельма Габсбурга, буд. 6, Ладижин, 14861",+380 (56) 928-13-70,rbaran@example.com
Вдовиченко,Остап,Петрович,Чоловік,1974-04-21,Музикознавець,Нововолинськ,"узвіз Чернишевського, буд. 491 кв. 96, Хорол , 79679",063 216 29 32,iustym69@example.net
Аверченко,Герман,Андрійович,Чоловік,1940-04-03,Дантист,Зіньків,"шосе 1-й Академічний тупик, буд. 65 кв. 12, Суми, 37871",027 056 31 04,vladyslav38@example.com
Козаченко,Тарас,Олексійович,Чоловік,1968-05-04,Головний меркшейдер,Буськ,"вулиця Парусна, буд. 5 кв. 712, Решетилівка, 52331",+380 83 799 83 14,khmaralukian@example.org
Бараник,Марко,Андрійович,Чоловік,1952-01-19,Мистецтвознавець,Ровеньки,"узвіз Студентський, буд. 52, Хрестівка, 99020",361 35 22,trokhymfranchuk@example.net
Вахній,Микита,Сергійович,Чоловік,1980-05-17,Дизайнер,Шпола,"набережна Творча, буд. 431 кв. 36, Гадяч, 32800",+380 33 880 35 57,bohodar76@example.org
Бакуменко,Омелян,Олексійович,Чоловік,2003-02-12,Мовознавець,Бердичів,"проспект Чорноморський 10-й, буд. 8, Генічеськ, 07797",+380 66 891 26 80,alekseienkovolodymyr@example.net
Кальченко,Олег,Миколайович,Чоловік,2007-04-29,Клавішник,Снігурівка,"набережна Чорноморська, буд. 65 кв. 92, Луганськ, 29534",830 95 26,zhadanrostyslav@example.com
Гавришкевич,Станіслав,Володимирович,Чоловік,1992-04-23,Піаніст,Сновськ,"проспект Каштанова, буд. 79, Золотоноша, 39775",+380 (08) 791-51-90,alina55@example.com
